crate	version	scope	declared_license	review_route	archive_sha256	archive_url	notice_files
futures-channel	0.3.32	transitive	MIT OR Apache-2.0	MIT	07bbe89c50d7a535e539b8c17bc0b49bdb77747034daa8087407d655f3f7cc1d	https://crates.io/api/v1/crates/futures-channel/0.3.32/download	LICENSE-APACHE; LICENSE-MIT
futures-core	0.3.32	transitive	MIT OR Apache-2.0	MIT	7e3450815272ef58cec6d564423f6e755e25379b217b0bc688e295ba24df6b1d	https://crates.io/api/v1/crates/futures-core/0.3.32/download	LICENSE-APACHE; LICENSE-MIT
futures-executor	0.3.32	transitive	MIT OR Apache-2.0	MIT	baf29c38818342a3b26b5b923639e7b1f4a61fc5e76102d4b1981c6dc7a7579d	https://crates.io/api/v1/crates/futures-executor/0.3.32/download	LICENSE-APACHE; LICENSE-MIT
futures-intrusive	0.5.0	transitive	MIT OR Apache-2.0	MIT	1d930c203dd0b6ff06e0201a4a2fe9149b43c684fd4420555b26d21b1a02956f	https://crates.io/api/v1/crates/futures-intrusive/0.5.0/download	LICENSE-APACHE; LICENSE-MIT
futures-io	0.3.32	transitive	MIT OR Apache-2.0	MIT	cecba35d7ad927e23624b22ad55235f2239cfa44fd10428eecbeba6d6a717718	https://crates.io/api/v1/crates/futures-io/0.3.32/download	LICENSE-APACHE; LICENSE-MIT
futures-macro	0.3.32	transitive	MIT OR Apache-2.0	MIT	e835b70203e41293343137df5c0664546da5745f82ec9b84d40be8336958447b	https://crates.io/api/v1/crates/futures-macro/0.3.32/download	LICENSE-APACHE; LICENSE-MIT
futures-sink	0.3.32	transitive	MIT OR Apache-2.0	MIT	c39754e157331b013978ec91992bde1ac089843443c49cbc7f46150b0fad0893	https://crates.io/api/v1/crates/futures-sink/0.3.32/download	LICENSE-APACHE; LICENSE-MIT
futures-task	0.3.32	transitive	MIT OR Apache-2.0	MIT	037711b3d59c33004d3856fbdc83b99d4ff37a24768fa1be9ce3538a1cde4393	https://crates.io/api/v1/crates/futures-task/0.3.32/download	LICENSE-APACHE; LICENSE-MIT
futures-util	0.3.32	transitive	MIT OR Apache-2.0	MIT	389ca41296e6190b48053de0321d02a77f32f8a5d2461dd38762c0593805c6d6	https://crates.io/api/v1/crates/futures-util/0.3.32/download	LICENSE-APACHE; LICENSE-MIT
generic-array	0.14.7	transitive	MIT	MIT	85649ca51fd72272d7821adaf274ad91c288277713d9c18820d8499a7ff69e9a	https://crates.io/api/v1/crates/generic-array/0.14.7/download	LICENSE
getrandom	0.2.17	transitive	MIT OR Apache-2.0	MIT	ff2abc00be7fca6ebc474524697ae276ad847ad0a6b3faa4bcb027e9a4614ad0	https://crates.io/api/v1/crates/getrandom/0.2.17/download	LICENSE-APACHE; LICENSE-MIT
